title,pages,year published
Red Harvest – Dashiell Hammett,224,
Regeneration – Pat Barker,256,
Remains of the Day – Kazuo Ishiguro,258,
Remembrance of Things Past – Marcel Proust,3000,
Return of the Native – Thomas Hardy,448,
Reveries of a Solitary Walker – Jean-Jacques Rousseau,160,
Rites of Passage – William Golding,278,
Rituals – Cees Nooteboom,160,
Rob Roy – Sir Walter Scott,501,
Robinson Crusoe – Daniel Defoe,320,
Roderick Random – Tobias George Smollett,476,
Rosshalde – Herman Hesse,217,
Roxana – Daniel Defoe,400,
Sabbath’s Theater – Philip Roth,451,
Saturday – Ian McEwan,289,
Saturday Night and Sunday Morning – Alan Sillitoe,256,
Schindler’s Ark – Thomas Keneally,398,
Schooling – Heather McGowan,320,
Seize the Day – Saul Bellow,144,
Self Condemned – Wyndham Lewis,436,
Señor Vivo and the Coca Lord – Louis de Bernieres,352,
Sense and Sensibility – Jane Austen,409,
Sentimental Education – Gustave Flaubert,432,
Sexing the Cherry – Jeanette Winterson,167,
Shame – Salman Rushdie,287,
She – H. Rider Haggard,317,
Shikasta – Doris Lessing,365,
Shirley – Charlotte Brontë,624,
Shroud – John Banville,272,
Siddhartha – Herman Hesse,152,
Silas Marner – George Eliot,288,
Silk – Alessandro Baricco,91,
Sister Carrie – Theodore Dreiser,580,
"Slaughterhouse-five – Kurt Vonnegut, Jr.",275,
Slow Man – J.M. Coetzee,240,
Small Remedies – Shashi Deshpande,324,
Smiley’s People – John Le Carré,397,
Smilla’s Sense of Snow – Peter Høeg,469,
Solaris – Stanislaw Lem,224,
Some Experiences of an Irish R.M. – Somerville and Ross,288,
Sometimes a Great Notion – Ken Kesey,640,
Song of Solomon – Toni Morrison,337,
Sons and Lovers – D.H. Lawrence,654,
"Spring Flowers, Spring Frost – Ismail Kadare",192,
Spring Torrents – Ivan Turgenev,240,
Sputnik Sweetheart – Haruki Murakami,229,
Steppenwolf – Herman Hesse,256,
Stone Junction – Jim Dodge,384,
Story of the Eye – Georges Bataille,103,
Strait is the Gate – André Gide,112,
Stranger in a Strange Land – Robert Heinlein,528,
Sula – Toni Morrison,192,
Summer – Edith Wharton,869,
Summer in Baden-Baden – Leonid Tsypkin,176,
Summer Will Show – Sylvia Townsend Warner,406,
Super-Cannes – J.G. Ballard,400,
Surfacing – Margaret Atwood,199,
Tarka the Otter – Henry Williamson,279,
Tarr – Wyndham Lewis,350,
Tarzan of the Apes – Edgar Rice Burroughs,324,
Tender is the Night – F. Scott Fitzgerald,315,
Tent of Miracles – Jorge Amado,396,
Tess of the D’Urbervilles – Thomas Hardy,592,
Testament of Youth – Vera Brittain,688,
"Thank You, Jeeves – P.G. Wodehouse",263,
That They May Face the Rising Sun – John McGahern,304,
The 120 Days of Sodom – Marquis de Sade,376,
The 13 Clocks – James Thurber,128,
The Abbot C – Georges Bataille,158,
The Absentee – Maria Edgeworth,320,
The Adventures of Augie March – Saul Bellow,586,
The Adventures of Caleb Williams – William Godwin,448,
The Adventures of Huckleberry Finn – Mark Twain,368,
The Adventures of Sherlock Holmes – Sir Arthur Conan Doyle,448,
The Afternoon of a Writer – Peter Handke,96,
The Age of Innocence – Edith Wharton,305,
The Albigenses – Charles Robert Maturin,268,
The Ambassadors – Henry James,528,
The Apes of God – Wyndham Lewis,639,
The Artamonov Business – Maxim Gorky,344,
The Atrocity Exhibition – J.G. Ballard,136,
The Autobiography of Alice B. Toklas – Gertrude Stein,256,
The Awakening – Kate Chopin,195,
The Beautiful Room is Empty – Edmund White,240,
The Bell – Iris Murdoch,320,
The Bell Jar – Sylvia Plath,244,
The Betrothed – Alessandro Manzoni,720,
The Big Sleep – Raymond Chandler,264,
The Birds Fall Down – Rebecca West,448,
The Bitter Glass – Eilís Dillon,220,
The Black Dahlia – James Ellroy,337,
The Black Prince – Iris Murdoch,444,
The Blind Assassin – Margaret Atwood,637,
The Blithedale Romance – Nathaniel Hawthorne,204,
The Bluest Eye – Toni Morrison,216,
The Body Artist – Don DeLillo,128,
The Bonfire of the Vanities – Tom Wolfe,656,
The Book of Daniel – E.L. Doctorow,320,
The Book of Evidence – John Banville,224,
The Book of Illusions – Paul Auster,288,
The Book of Laughter and Forgetting – Milan Kundera,313,
The Breast – Philip Roth,89,
The Bridge on the Drina – Ivo Andric,318,
The Brothers Karamazov – Fyodor Dostoevsky,776,
The Buddha of Suburbia – Hanif Kureishi,288,
The Bus Conductor Hines – James Kelman,237,
The Butcher Boy – Patrick McCabe,240,
The Case of Comrade Tulayev – Victor Serge,400,
The Castle – Franz Kafka,352,
The Castle of Crossed Destinies – Italo Calvino,144,
The Castle of Otranto – Horace Walpole,125,
The Catcher in the Rye – J.D. Salinger,277,
The Cement Garden – Ian McEwan,144,
The Charterhouse of Parma – Stendhal,560,
The Charwoman’s Daughter – James Stephens,132,
The Child in Time – Ian McEwan,263,
The Childermass – Wyndham Lewis,401,
The Cider House Rules – John Irving,973,
The Clay Machine-Gun – Victor Pelevin,336,
The Collector – John Fowles,282,
The Color Purple – Alice Walker,295,
The Colour – Rose Tremain,382,
The Comfort of Strangers – Ian McEwan,128,
The Corrections – Jonathan Franzen,653,
The Count of Monte-Cristo – Alexandre Dumas,1243,
The Counterfeiters – André Gide,467,
The Country Girls – Edna O’Brien,175,
The Crow Road – Iain Banks,502,
The Crying of Lot 49 – Thomas Pynchon,192,
The Cubs and Other Stories – Mario Vargas Llosa,159,
The Curious Incident of the Dog in the Night-Time – Mark Haddon,226,
The Dead Father – Donald Barthelme,192,
The Death of Ivan Ilyich – Leo Tolstoy,88,
The Devil and Miss Prym – Paulo Coelho,224,
The Devil in the Flesh – Raymond Radiguet,128,
The Devils – Fyodor Dostoevsky,733,
The Diary of Jane Somers – Doris Lessing,502,
The Discovery of Heaven – Harry Mulisch,730,
The Double – José Saramago,324,
The Driver’s Seat – Muriel Spark,128,
The Drowned and the Saved – Primo Levi,203,
The Drowned World – J.G. Ballard,176,
The Electric Kool-Aid Acid Test – Tom Wolfe,416,
The Emigrants – W.G. Sebald,237,
The Enchanted Wanderer – Nicolai Leskov,320,
The End of the Affair – Graham Greene,160,
The End of the Road – John Barth,198,
The End of the Story – Lydia Davis,240,
The English Patient – Michael Ondaatje,320,
The Enormous Room – E.E. Cummings,304,
The Fall of the House of Usher – Edgar Allan Poe,36,
The Fan Man – William Kotzwinkle,208,
The Feast of the Goat – Mario Vargos Llosa,480,
The Female Quixote – Charlotte Lennox,464,
The First Circle – Aleksandr Isayevich Solzhenitsyn,580,
The Floating Opera – John Barth,240,
The Folding Star – Alan Hollinghurst,437,
The Forsyte Sage – John Galsworthy,912,
The Fox – D.H. Lawrence,84,
The French Lieutenant’s Woman – John Fowles,470,
The Garden of the Finzi-Continis – Giorgio Bassani,280,
The Garden Party – Katherine Mansfield,159,
The Garden Where the Brass Band Played – Simon Vestdijk,312,
The German Lesson – Siegfried Lenz,480,
The Ghost Road – Pat Barker,288,
The Girls of Slender Means – Muriel Spark,144,
The Glass Bead Game – Herman Hesse,558,
The Glass Key – Dashiell Hammett,214,
The Glimpses of the Moon – Edith Wharton,272,
The Go-Between – L.P. Hartley,326,
The God of Small Things – Arundhati Roy,321,
The Godfather – Mario Puzo,448,
The Golden Ass – Lucius Apuleius,256,
The Golden Bowl – Henry James,591,
The Golden Notebook – Doris Lessing,640,
The Good Soldier – Ford Madox Ford,368,
The Good Soldier Švejk – Jaroslav Hašek,784,
The Graduate – Charles Webb,272,
The Grapes of Wrath – John Steinbeck,455,
The Grass is Singing – Doris Lessing,256,
The Great Gatsby – F. Scott Fitzgerald,180,
The Green Hat – Michael Arlen,244,
The Green Man – Kingsley Amis,176,
The Ground Beneath Her Feet – Salman Rushdie,576,
The Hamlet – William Faulkner,432,
The Hand of Ethelberta – Thomas Hardy,512,
The Handmaid’s Tale – Margaret Atwood,311,
The Heart of Redness – Zakes Mda,288,
The Heart of the Matter – Graham Greene,272,
The Heat of the Day – Elizabeth Bowen,384,
The Heather Blazing – Colm Tóibín,245,
The History of the Siege of Lisbon – José Saramago,314,
The Hitchhiker’s Guide to the Galaxy – Douglas Adams,216,
The Hobbit – J.R.R. Tolkien,351,
The Honorary Consul – Graham Greene,304,
The Hound of the Baskervilles – Sir Arthur Conan Doyle,256,
The Hour of the Star – Clarice Lispector,96,
The Hours – Michael Cunningham,240,
The House by the Medlar Tree – Giovanni Verga,275,
The House in Paris – Elizabeth Bowen,269,
The House of Doctor Dee – Peter Ackroyd,276,
The House of Mirth – Edith Wharton,352,
The House of the Seven Gables – Nathaniel Hawthorne,502,
The House of the Spirits – Isabel Allende,448,
The House on the Borderland – William Hope Hodgson,156,
The Human Stain – Philip Roth,384,
The Hunchback of Notre Dame – Victor Hugo,512,
The Idiot – Fyodor Dostoevsky,720,
The Immoralist – André Gide,144,
The Inferno – Henri Barbusse,255,
The Information – Martin Amis,374,
The Interesting Narrative – Olaudah Equiano,256,
The Invention of Curried Sausage – Uwe Timm,218,
The Invisible Man – H.G. Wells,208,
The Iron Heel – Jack London,419,
The Island of Dr. Moreau – H.G. Wells,160,
The Joke – Milan Kundera,323,
The Judge and His Hangman – Friedrich Dürrenmatt,208,
The Jungle – Upton Sinclair,540,
The Killer Inside Me – Jim Thompson,244,
The Kreutzer Sonata – Leo Tolstoy,128,
The Labyrinth of Solitude – Octavio Paz,398,
The Lambs of London – Peter Ackroyd,213,
The Last Chronicle of Barset – Anthony Trollope,928,
The Last Days of Humanity – Karl Kraus,256,
The Last of Mr. Norris – Christopher Isherwood,207,
The Last September – Elizabeth Bowen,320,
The Last Temptation of Christ – Nikos Kazantzákis,512,
The Left-Handed Woman – Peter Handke,87,
The Leopard – Giuseppe Tomasi di Lampedusa,320,
The Life and Adventures of Nicholas Nickleby – Charles Dickens,504,
The Life and Times of Michael K – J.M. Coetzee,192,
The Life of Insects – Victor Pelevin,176,
The Light of Day – Graham Swift,336,
The Little Prince – Antoine de Saint-Exupéry,91,
The Living and the Dead – Patrick White,368,
The Lonely Londoners – Sam Selvon,141,
The Long Dark Teatime of the Soul – Douglas Adams,320,
The Long Goodbye – Raymond Chandler,379,
The Lord of the Rings – J.R.R. Tolkien,1285,
The Lost Honor of Katharina Blum – Heinrich Böll,144,
The Lover – Marguerite Duras,117,
The Magic Mountain – Thomas Mann,706,
The Magus – John Fowles,656,
The Making of Americans – Gertrude Stein,926,
The Maltese Falcon – Dashiell Hammett,224,
The Man of Feeling – Henry Mackenzie,160,
The Man With the Golden Arm – Nelson Algren,464,
The Man Without Qualities – Robert Musil,1130,
The Marble Faun – Nathaniel Hawthorne,432,
The Master – Colm Tóibín,339,
The Master and Margarita – Mikhail Bulgakov,384,
The Master of Ballantrae – Robert Louis Stevenson,288,
The Master of Petersburg – J.M. Coetzee,256,
The Mayor of Casterbridge – Thomas Hardy,448,
The Melancholy of Resistance – László Krasznahorkai,314,
The Midnight Examiner – William Kotzwinkle,320,
The Midwich Cuckoos – John Wyndham,220,
The Mill on the Floss – George Eliot,579,
The Monastery – Sir Walter Scott,354,
The Monk – M.G. Lewis,416,
The Moon and the Bonfires – Cesare Pavese,200,
The Moonstone – Wilkie Collins,528,
The Moor’s Last Sigh – Salman Rushdie,434,
The Murder of Roger Ackroyd – Agatha Christie,288,
The Music of Chance – Paul Auster,224,
The Mysteries of Udolpho – Ann Radcliffe,704,
The Name of the Rose – Umberto Eco,536,
The Names – Don DeLillo,339,
The New York Trilogy – Paul Auster,308,
The Newton Letter – John Banville,96,
The Nice and the Good – Iris Murdoch,368,
The Nine Tailors – Dorothy L. Sayers,397,
The Nose – Nikolay Gogol,32,
The Nun – Denis Diderot,189,
The Ogre – Michael Tournier,373,
The Old Devils – Kingsley Amis,384,
The Old Man and the Sea – Ernest Hemingway,96,
The Old Wives’ Tale – Arnold Bennett,565,
The Once and Future King – T.H. White,639,
The Opposing Shore – Julien Gracq,292,
The Outsider – Albert Camus,123,
The Parable of the Blind – Gert Hofmann,152,
The Passion – Jeanette Winterson,176,
The Passion According to G.H. – Clarice Lispector,220,
The Passion of New Eve – Angela Carter,192,
The Path to the Nest of Spiders – Italo Calvino,192,
The People of Hemsö – August Strindberg,197,
The Piano Teacher – Elfriede Jelinek,328,
The Picture of Dorian Gray – Oscar Wilde,254,
The Pigeon – Patrick Süskind,96,
The Pilgrim’s Progress – John Bunyan,324,
The Pit and the Pendulum – Edgar Allan Poe,64,
The Plague – Albert Camus,308,
The Player of Games – Iain M. Banks,288,
The Plot Against America – Philip Roth,391,
The Plumed Serpent – D.H. Lawrence,464,
The Poisonwood Bible – Barbara Kingsolver,546,
The Poor Mouth – Flann O’Brien,128,
The Portrait of a Lady – Henry James,656,
The Postman Always Rings Twice – James M. Cain,116,
The Power and the Glory – Graham Greene,240,
The Prime of Miss Jean Brodie – Muriel Spark,150,
"The Princess of Clèves – Marie-Madelaine Pioche de Lavergne, Comtesse de La Fayette",288,
The Private Memoirs and Confessions of a Justified Sinner – James Hogg,258,
The Professor’s House – Willa Cather,288,
The Public Burning – Robert Coover,544,
The Purloined Letter – Edgar Allan Poe,48,
The Pursuit of Love – Nancy Mitford,192,
The Quest for Christa T. – Christa Wolf,185,
The Quiet American – Graham Greene,180,
The Radetzky March – Joseph Roth,384,
The Radiant Way – Margaret Drabble,480,
The Ragazzi – Pier Paulo Pasolini,246,
The Ragged Trousered Philanthropists – Robert Tressell,608,
The Rainbow – D.H. Lawrence,544,
The Ravishing of Lol V. Stein – Marguerite Duras,181,
The Razor’s Edge – William Somerset Maugham,314,
The Reader – Bernhard Schlink,218,
The Real Charlotte – Somerville and Ross,415,
The Rebel – Albert Camus,320,
The Recognitions – William Gaddis,976,
The Red and the Black – Stendhal,607,
The Red Queen – Margaret Drabble,352,
The Red Room – August Strindberg,319,
The Return of the Soldier – Rebecca West,112,
The Revenge for Love – Wyndham Lewis,399,
The Riddle of the Sands – Erskine Childers,336,
The Rings of Saturn – W.G. Sebald,296,
The River Between – Ngugi wa Thiong’o,152,
The Robber Bride – Margaret Atwood,528,
The Romantics – Pankaj Mishra,288,
The Roots of Heaven – Romain Gary,494,
The Safety Net – Heinrich Böll,313,
The Satanic Verses – Salman Rushdie,561,
The Scarlet Letter – Nathaniel Hawthorne,228,
The Sea – John Banville,195,
The Sea of Fertility – Yukio Mishima,821,
"The Sea, The Sea – Iris Murdoch",495,
The Secret Agent – Joseph Conrad,304,
The Secret History – Donna Tartt,559,
The Shadow Line – Joseph Conrad,136,
The Shining – Stephen King,497,
The Shipping News – E. Annie Proulx,352,
The Siege of Krishnapur – J.G. Farrell,344,
The Singapore Grip – J.G. Farrell,568,
The Sorrow of Belgium – Hugo Claus,774,
The Sorrows of Young Werther – Johann Wolfgang von Goethe,149,
The Sound and the Fury – William Faulkner,326,
The Spy Who Came in from the Cold – John Le Carré,224,
The Stechlin – Theodore Fontane,571,
The Stone Diaries – Carol Shields,361,
The Story of Lucy Gault – William Trevor,240,
The Story of O – Pauline Réage,199,
The Strange Case of Dr. Jekyll and Mr. Hyde – Robert Louis Stevenson,178,
The Summer Book – Tove Jansson,172,
The Sun Also Rises – Ernest Hemingway,254,
The Swimming-Pool Library – Alan Hollinghurst,352,
The Taebek Mountains – Jo Jung-rae,3703,
The Talented Mr. Ripley – Patricia Highsmith,249,
The Talk of the Town – Ardal O’Hanlon,244,
The Tartar Steppe – Dino Buzzati,198,
The Temple of My Familiar – Alice Walker,416,
The Temptation of Saint Anthony – Gustave Flaubert,304,
The Tenant of Wildfell Hall – Anne Brontë,535,
The Thin Man – Dashiell Hammett,201,
The Things They Carried – Tim O’Brien,246,
The Thinking Reed – Rebecca West,431,
The Third Man – Graham Greene,160,
The Third Policeman – Flann O’Brien,200,
The Thirty-Nine Steps – John Buchan,228,
The Thousand and One Nights – Anonymous,1049,
The Three Musketeers – Alexandre Dumas,598,
The Time Machine – H.G. Wells,118,
The Time of Indifference – Alberto Moravia,400,
The Tin Drum – Günter Grass,567,
The Trial – Franz Kafka,224,
The Trick is to Keep Breathing – Janice Galloway,236,
The Trusting and the Maimed – James Plunkett,256,
The Turn of the Screw – Henry James,128,
The Unbearable Lightness of Being – Milan Kundera,314,
The Unconsoled – Kazuo Ishiguro,535,
The Unfortunate Traveller – Thomas Nashe,512,
The Unnamable – Samuel Beckett,186,
The Untouchable – John Banville,384,
The Vicar of Wakefield – Oliver Goldsmith,197,
The Vice-Consul – Marguerite Duras,169,
The Victim – Saul Bellow,272,
The Violent Bear it Away – Flannery O’Connor,256,
The Virgin in the Garden – A.S. Byatt,428,
The Virgin Suicides – Jeffrey Eugenides,249,
The Voyage Out – Virginia Woolf,384,
The War of the Worlds – H.G. Wells,192,
The Wasp Factory – Iain Banks,184,
The Water-Babies – Charles Kingsley,224,
The Waves – Virginia Woolf,300,
The Well of Loneliness – Radclyffe Hall,448,
The Wild Boys – William Burroughs,193,
The Wind-Up Bird Chronicle – Haruki Murakami,611,
The Wings of the Dove – Henry James,608,
The Woman in White – Wilkie Collins,672,
The Wonderful “O” – James Thurber,80,
The Woodlanders – Thomas Hardy,464,
The World According to Garp – John Irving,609,
The Year of the Death of Ricardo Reis – José Saramago,384,
The Years – Virginia Woolf,444,
The Yellow Wallpaper – Charlotte Perkins Gilman,70,
Their Eyes Were Watching God – Zora Neale Hurston,235,
Them – Joyce Carol Oates,576,
Thérèse Raquin – Émile Zola,240,
"They Shoot Horses, Don’t They? – Horace McCoy",122,
Things – Georges Perec,157,
Things Fall Apart – Chinua Achebe,209,
Three Lives – Gertrude Stein,176,
Threepenny Novel – Bertolt Brecht,365,
"Through the Looking Glass, and What Alice Found There – Lewis Carroll",240,
Thursbitch – Alan Garner,160,
Timbuktu – Paul Auster,192,
Time’s Arrow – Martin Amis,168,
Tinker Tailor Soldier Spy – John Le Carré,379,
Tipping the Velvet – Sarah Waters,472,
Titus Groan – Mervyn Peake,396,
To Have and Have Not – Ernest Hemingway,176,
To Kill a Mockingbird – Harper Lee,323,
To The Lighthouse – Virginia Woolf,209,
To the North – Elizabeth Bowen,320,
Tom Jones – Henry Fielding,1024,
Tono-Bungay – H.G. Wells,384,
Trainspotting – Irvine Welsh,344,
Transit – Anna Seghers,290,
Trawl – B.S. Johnson,208,
Treasure Island – Robert Louis Stevenson,311,
Tristram Shandy – Laurence Sterne,588,
Tropic of Cancer – Henry Miller,318,
Tropic of Capricorn – Henry Miller,348,
Troubles – J.G. Farrell,459,
Typical – Padgett Powell,207,
U.S.A. – John Dos Passos,1312,
Ulysses – James Joyce,783,
Uncle Silas – Sheridan Le Fanu,528,
"Uncle Tom’s Cabin; or, Life Among the Lonely – Harriet Beecher Stowe",438,
Under Fire – Henri Barbusse,352,
Under the Net – Iris Murdoch,253,
Under the Skin – Michel Faber,296,
Under the Volcano – Malcolm Lowry,432,
Underworld – Don DeLillo,827,
Unless – Carol Shields,336,
V. – Thomas Pynchon,640,
Vanishing Point – David Markson,191,
Vanity Fair – William Makepeace Thackeray,912,
Vathek – William Beckford,170,
Veronika Decides to Die – Paulo Coelho,240,
Vertigo – W.G. Sebald,263,
Vile Bodies – Evelyn Waugh,321,
Villette – Charlotte Brontë,573,
Vineland – Thomas Pynchon,480,
Virgin Soil – Ivan Turgenev,368,
Voss – Patrick White,440,
"W, or the Memory of Childhood – Georges Perec",176,
Waiting for the Barbarians – J.M. Coetzee,160,
Walden – Henry David Thoreau,384,
War and Peace – Leo Tolstoy,1392,
Watchmen – Alan Moore & David Gibbons,408,
Waterland – Graham Swift,368,
Watt – Samuel Beckett,256,
We – Yevgeny Zamyatin,226,
What a Carve Up! – Jonathan Coe,512,
What I Loved – Siri Hustvedt,370,
What Maisie Knew – Henry James,275,
Whatever – Michel Houellebecq,160,
Where Angels Fear to Tread – E.M. Forster,148,
White Noise – Don DeLillo,310,
White Teeth – Zadie Smith,448,
Wide Sargasso Sea – Jean Rhys,151,
Wild Harbour – Ian MacPherson,175,
Wild Swans – Jung Chang,544,
Wilhelm Meister’s Apprenticeship – Johann Wolfgang von Goethe,640,
Willard and His Bowling Trophies – Richard Brautigan,167,
Wise Blood – Flannery O’Connor,236,
Wise Children – Angela Carter,240,
Wittgenstein’s Mistress – David Markson,256,
Wittgenstein’s Nephew – Thomas Bernhard,106,
Women in Love – D.H. Lawrence,400,
World’s End – T. Coraghessan Boyle,480,
Worstward Ho – Samuel Beckett,47,
Written on the Body – Jeanette Winterson,190,
Wuthering Heights – Emily Brontë,464,
Yes – Thomas Bernhard,135,
Young Törless – Robert Musil,176,
Youth – J.M. Coetzee,176,
Zeno’s Conscience – Italo Svevo,437,
